Film,Type,Distributor/Studio,Prod 1,Prod 2,Prod 3,Prod 4,Prod 5,Prod 6,,Gross (dom.) $,Date,CPI at,today,CPI Oct. 2015,IMDB,Open wkd,OP Wk (Real),Days avail.,Theatres (peak),Notes,Link,,
The Haunted Mansion,,BV,,,,,,,,75847266,01/11/2003,185,97774320,,,24278410,,,3122,,,,
Eight Below,,BV,,,,,,,,81612565,01/02/2006,199,97687817,,,20188176,,,3066,,,,
Arachnophobia,,BV,,,,,,,,53208180,01/07/1990,130,97046987,,,8045760,,,1479,,,,
The Parent Trap,L,BV,,,,,,,,66308518,01/07/1998,163,96634101,,,11148497,,,2247,,,,
Bridge to Terabithia,,BV,,,,,,,,82272442,01/02/2007,204,96155328,,,22564612,,,3139,,,,
Disney's The Kid,,BV,,,,,,,,69691949,01/07/2000,173,95922418,,,12687726,,,2167,,,,
Ladder 49,,BV,Touch Stone,Beacon Communications,,,,,,74541707,01/01/2004,185,95728135,,6.5,22088204,,,3260,,,,
Sister Act 2: Back in the Habit,,BV,Touch Stone,,,,,,,57319029,01/10/1993,146,93566529,,5.3,7569219,,,2132,,,,
Tomorrowland,,BV,,,,,,,,93436322,01/05/2015,238,93530309,,,33028165,,,3972,,,,
The Muppets,,BV,,,,,,,,88631237,01/11/2011,226,93178960,,,29239026,,,3440,,,,
Deuce Bigalow: Male Gigolo,,BV,Touch Stone,Happy Madison,,,,,,65538755,01/10/1999,168,92673046,,,12224016,,,2154,,,,
Tombstone,,BV,,,,,,,,56505065,01/12/1993,146,92174565,,,6454752,,,1504,,,,
Planes,,DisneyToon Studios,Buena Vista,,,,,,,90288712,01/08/2013,234,91817864,,5.7,22232291,,133,3716,,,,
102 Dalmatians,,BV,Cruella Prod./Walt Disney Pics.,,,,,,,66957026,01/11/2000,174,91469989,,4.8,19883351,,,2704,,,,
The Lone Ranger,,BV,,,,,,,,89302115,01/03/2013,233,91245275,,,29210849,,,3904,,,,
Gus,L,Buena Vista,Walt Disney Prod.,,,,,,,21873000,01/07/1976,57,91107366,,5.8,,,,,,,,
Escape to Witch Mountain,L,,,,,,,,,20000000,01/03/1975,53,90261101,,6.3,,,,,,,,
Real Steel,,BV,Touch Stone,DreamWorks Pictures, Reliance Entertainment,ImageMovers,21 Laps Entertainment,,,85468508,01/07/2011,226,89976448,,7.1,27319677,,,3440,,,,
The Good Dinosaur,,Walt Disney Studios M. Pics,Walt Disney Pic./Pixar,,,,,,,89478014,01/11/2015,,89478014,,7.3,39155217,,7,3749,,,,
Jungle 2 Jungle,L,BV,,,,,,,,59927618,01/03/1997,160,89026014,,5,12812047,,,2316,,,,
Jack,,BV,,,,,,,,58620973,01/09/1996,158,88354214,,,11191496,,,1710,,,,
The Three Musketeers,L,Buena Vista Pics.,Walt Disney Pics./Caravan Pics./Wolfgang/Vienna Film/One for All,,,,,,,53898845,01/11/1993,146,87923138,,6.3,10621992,,,2128,,,,
Holes,,BV,,,,,,,,67406573,01/04/2003,184,87224399,,,16300155,,,2331,,,,
Hannah Montana,,Disney Channel,,,,,,,,79576189,01/04/2010,218,86814038,,4.1,32324487,,126,3231,,,,
The Mighty Ducks,L,Buena Vista Pics.,Avnet/Kerner Prod./Touchwood Pacific Part. 1/Walt Disney Pics.,,,,,,,50752337,01/10/1992,142,85125771,,6.4,6035133,,,1873,,,,
Saving Mr. Banks,,BV,,,,,,,,83301580,01/12/2013,233,85013371,,7.5,413373,,,15,,,,
Hidalgo,,BV,Touch Stone,,,,,,,67303450,01/05/2004,189,84650016,,,18829435,,,3063,,,,
Coyote Ugly,,BV,Touch Stone,Jerry Bruckheimer Films,,,,,,60786269,01/04/2000,171,84397459,,,17319282,,,2653,,,,
War Horse,,BV,Touch Stone,DreamWorks Pictures,Reliance Entertainment,Amblin Entertainment,The Kennedy/Marshall Company,,,79884879,01/12/2011,226,84191481,,,7515402,,,2376,,,,
Mission to Mars,,BV,Touch Stone,Spyglass Entertainment,,,,,,60883407,01/10/2000,174,83220619,,5.5,22855247,,,3054,,,,
A Civil Action,,BV,Touch Stone,Paramount Pictures and Scott Rudin ProductionsTP,,,,,,56709981,01/12/1998,164,82292791,,,70079,,,2,,,,
Bicentennial Man,,BV,Touch Stone,Columbia Pictures,1492 Pictures BM,,,,,58223861,01/12/1999,168,82280729,,,8234926,,,2518,,,,
The Rocketeer,L,Buena Vista,Walt Disney Pic./Touchstone/Silver Screen Part. IV/ Gordon/ Dark Horse,,,,,,,46704056,01/06/1991,136,81676465,,6.4,9600754,,,1903,,,,
Babes in Toyland,L,,Walt Disney Prod.,,,,,,,10218316,01/12/1961,30,81010128,,6.3,,,,,,,http://www.imdb.com/title/tt0054649/?ref_=fn_al_tt_3,http://www.the-numbers.com/search?searchterm=Babes+in+Toyland
Herbie: Fully Loaded,,BV,,,,,,,,66023816,01/06/2005,195,80735076,,,12709221,,,3521,,,,
Miracle,,BV,,,,,,,,64378093,01/06/2004,190,80714586,,7.5,19377577,,,2605,,,,
When a Man Loves a Woman,,BV,Touch Stone,,,,,,,50021959,01/04/1994,147,80713180,,,651700,,,19,,,,
Angels in the Outfield,L,Buena Vista Pics.,Caraven/Walt Disney Pics.,,,,,,,50236831,01/07/1994,148,80513662,,6,8916463,,,1921,,,,
Tron,H,Buena Vista,Walt Disney Pictures,Lisberger Studios,,,,,,33000000,01/07/1982,98,80499015,,6.8,4761795,,,1112,,,,
The Sword in the Stone,A,Buena Vista,Walt Disney Prod.,,,,,,,6700000,01/12/1963,31,80391180,,7.2,,,,,Re-issue: 1983,,,
Three Fugitives,,BV,Touch Stone,Silver Screen Partners IV,,,,,,40586886,01/01/1989,121,79711840,,,6434717,,,1153,,,,
The Distinguished Gentleman,,BV,,,,,,,,46666502,01/04/1992,140,79563208,,,10611040,,,1933,,,,
Big Business,,BV,Touch Stone,Silver Screen Partners III,,,,,,40150487,01/10/1988,120,79445187,,,6112577,,,1167,,,,
Shanghai Noon,,BV,Touch Stone,Spyglass Entertainment,,,,,,56937502,01/05/2000,172,78961525,,6.6,15607034,,,2711,,,,
Up Close and Personal,,BV,,,,,,,,51088705,01/01/1996,154,78697121,,,11101955,,,1506,,,,
Shanghai Knights,,BV,Touch Stone,Spyglass Entertainment,,,,,,60476872,01/07/2003,184,78214781,,6.2,19603630,,,2753,,,,
The Great Mouse Detective,A,Buena Vista,Walt Disney Pictures,Silver Screen Partners II,,,,,,25336794,01/07/1986,110,77835986,,7.2,3220225,,,1198,Re-issue: 1992,,,
Sky High,,BV,,,,,,,,63946815,01/07/2005,195,77835121,,,14631784,,,2905,,,,
Step Up,,BV,Touch Stone,Summit Entertainment,,,,,,65328121,01/11/2006,202,77109229,,,20659573,,,2467,,,,
Medicine Man,,BV,,,,,,,,45500797,01/07/1992,141,77023620,,,8494271,,,1304,,,,
Deja Vu,,BV,Touch Stone,Jerry Bruckheimer Films,,,,,,64038616,01/11/2006,202,75587178,,,20574802,,,3108,,,,
Open Range,,BV,Touch Stone,Beacon Communications,,,,,,58331254,01/08/2003,185,75153785,,7.5,14047781,,,2075,,,,
John Carter,,BV,,,,,,,,73078100,01/09/2012,231,75109003,,6.6,30180188,,,3749,,,,
Race to Witch Mountain,,BV,,,,,,,,67172594,01/03/2009,213,75108225,,5.7,24402214,,,3187,,,,
Evita,,BV,,,,,,,,50047179,01/12/1996,159,75051204,,,195085,,,2,,,,
D2: The Might Ducks,L,Buena Vista Pics.,Avnet/Kerner Prod./Walt Disney Pics.,,,,,,,45610410,01/03/1994,147,73694896,,5.9,10356748,,,2223,,,,
Mighty Joe Young,L,BV,,,,,,,,50632037,01/12/1998,164,73472986,,5.6,10602042,,,2502,,,,
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,,Disney Channel,,,,,,,,65281781,01/02/2008,212,73344363,,2.3,31117834,,105,687,,,,
Adventures in Babysitting,,BV,Touchstone,Silver Screen Partners III,Emshell Producers,,,,,34368475,01/01/2000,112,72918192,,,2901297,,,1126,,,,
The Count of Monte Cristo,,BV,Touch Stone,0,,,,,,54234062,01/01/2002,177,72834110,,,11376150,,,2007,,,,
The Shaggy Dog,,,Walt Disney Prod./Mandeville/Boxing Cat/ Shaggy Dog,,,,,,,61123569,01/03/2006,200,72760297,,4.4,16310058,,140,3501,,,,
Bon Voyage!,L,,Walt Disney Prod.,,,,,,,9230769,01/05/1962,30,72696279,,5.9,,,,,,,http://www.imdb.com/title/tt0055807/?ref_=fn_al_tt_4,http://www.the-numbers.com/search?searchterm=Bon+Voyage%21
The Preacher's Wife,,BV,Touch Stone,The Samuel Goldwyn Company,,,,,,48102795,01/12/1996,159,72135388,,,7649752,,,1783,,,,
G.I. Jane,,BV,,,,,,,,48169156,01/08/1997,161,71246615,,,11094241,,,1945,,,,
The Royal Tenenbaums,,BV,Touch Stone,American Empirical Pictures,,,,,,52364010,01/12/2001,177,70481898,,,276981,,,5,,,,
Never Cry Wolf,L,Buena Vista,Walt Disney Pictures,,,,,,,29600000,01/10/1983,101,69703018,,7.6,1116437,,,540,,,,
Homeward Bound: The Incredible Journey,L,Buena Vista Pics.,Touchwood Pacific Part. 1/Walt Disney Pics.,,,,,,,41833324,01/02/1993,143,69528680,,6.9,8112515,,,1798,,,,
Encino Man,,BV,,,,,,,,40693477,01/05/1992,140,69280280,,,9866120,,,2050,,,,
The Recruit,,BV,Touch Stone,Spyglass Entertainment,,,,,,52802140,01/01/2003,182,69115880,,,16302063,,,2376,,,,
The Sorcerer's Apprentice,,BV,,,,,,,,63150991,01/07/2010,218,68894255,,,17619622,,,3504,,,,
The Apple Dumpling Gang Rides Again,L,Buena Vista,Walt Disney Prod.,,,,,,,20931111,01/06/1979,72,68854960,,5.9,,,,,,,,
The Last Song,,BV,Touch Stone,Offspring Entertainment,,,,,,62950384,01/03/2010,218,68795316,,,16007426,,,2673,,,,
Bridge of Spies,,BV,Touch Stone,DreamWorks Pictures,Fox 2000 Pictures,Reliance Entertainment,"Participant Media, ",TSG Entertainment and ,Amblin Entertainment,68732080,01/10/2015,238,68732080,,,15371203,,,2811,,,,
The Jungle Book (1994),L,Buena Vista Pics.,Vegahom Europe/Walt Disney Pics.,,,,,,,43229904,01/12/1994,150,68682124,,6,5129959,,,2012,,,,
Invincible,,BV,,,,,,,,57806952,01/08/2006,204,67428592,,7.1,17031122,,,2917,,,,
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",,BV,,,,,,,,66954149,01/10/2014,237,67068356,,,18360230,,,3088,,,,
The Doctor,,BV,Touch Stone,Silver Screen Partners IV,,,,,,38120905,01/07/1991,136,66568280,,,165392,,,6,,,,
Son of Flubber,L,,,,,,,,,8500000,01/01/1963,30,66500757,,6,,,,,,,,http://www.the-numbers.com/movie/Son-of-Flubber#tab=box-office
Nothing to Lose,,BV,Touch Stone,,,,,,,44480039,01/07/1997,161,65913044,,6.7,11617767,,,1862,,,,
Can't Buy Me Love,,BV,Touchstone,Silver Screen Partners III,Apollo Pictures,The Mount Company,,,,31623833,01/08/1987,114,65746059,,,4754732,,,1256,,,,
Step Up 2 the Streets,,BV,,,,,,,,58017783,01/02/2008,212,65183230,,,18908826,,,2470,,,,
King Arthur,,BV,Touch Stone,Jerry Bruckheimer Films,,,,,,51882244,01/07/2004,189,65150840,,6.3,15193907,,,3086,,,,
Hocus Pocus,L,,,,,,,,,39514713,01/07/1993,144,65083797,,,8125471,,,1472,,,,
Secretariat,,BV,,,,,,,,59713955,01/08/2010,218,65054819,,7.2,12694770,,,3072,,,,
Return to Never Land,,BV,,,,,,,,48430258,01/02/2002,178,64783778,,5.8,11889631,,,2605,,,,
The Guardian,,BV,Touch Stone,Beacon Communications,,,,,,55011732,01/09/2006,203,64484378,,,18006064,,,3241,,,,
Home on the Range,,BV,,,,,,,,50030461,01/02/2004,186,63905181,,,13880771,,,3047,,,,
The Tigger Movie,A,DisneyToon Studios,Buena Vista,,,,,,,45554533,01/02/2000,170,63808004,,,9427532,,161,2818,,,,
What's Love Got to Do with It,,BV,Touch Stone,,,,,,,39100956,01/11/1993,146,63783904,,,1222718,,,58,,,,
Man of the House,L,BV,,,,,,,,40070995,01/03/1995,151,62948516,,4.9,9473317,,,2013,,,,
The Prestige,,BV,Touch Stone,"Warner Bros. Pictures, Syncopy Films and Newmarket Films; North America distribution only",,,,,,53089891,01/10/2006,202,62570830,,,14801808,,,2281,,,,
The Hitchhiker's Guide to the Galaxy,,BV,Touch Stone,Spyglass Entertainment,,,,,,51085416,01/04/2005,195,62436039,,,21103203,,,3133,,,,
The Jungle Book 2,,Buena Vista,Disney Television Animation/DisneyToon Studios,,,,,,,47901582,01/02/2003,183,62221827,,5.4,11441733,,105,2815,,http://www.boxofficemojo.com/movies/?id=junglebook2.htm,http://www.imdb.com/title/tt0283426/?ref_=fn_al_tt_4,
"O Brother, Where Art Thou?",,BV,Touch Stone,Universal Pictures,Working Title Films,StudioCanal,,,,45512588,01/12/2000,174,62210476,,7.8,195104,,,5,,,,
Return from Witch Mountain,L,Buena Vista,Walt Disney Prod.,,,,,,,16393000,01/03/1978,63,61496504,,5.9,,,,,,,,
White Fang,L,Buena Vista,Walt Disney Pictures,Silver Screen Partners IV,Hybrid Prod.,,,,,34793160,01/01/1991,135,61479462,,6.6,5640712,,,1259,,,,
Alive,,BV,Touch Stone,Paramount PicturesTP,,,,,,36733909,01/01/1993,143,61267317,,,8624292,,,1132,,,,
Shoot to Kill,,BV,Touchstone,Silver Screen Partners III,Century Park Pictures,,,,,29300090,01/02/1988,115,60755665,,6.8,5781628,,,1503,,,,
Son-in-Law,,BV,,,,,,,,36448400,01/02/1993,143,60578718,,,7033310,,,1389,,,,
Apocalypto,,BV,Touch Stone,Icon Entertainment,,,,,,50866635,01/08/2006,204,59333098,,,15005604,,,2465,,,,
I Am Number Four,,BV,Touch Stone,DreamWorks Pictures,Reliance Entertainment,Bay Films,,,,55100437,01/02/2011,221,59215747,,,19449893,,,3154,,,,
Planes: Fire & Rescue,,DisneyToon Studios,Buena Vista,,,,,,,59165787,01/07/2014,238,59063473,,5.9,17509407,,119,3839,,,,
Reign of Fire,,BV,Touch Stone,Spyglass Entertainment,,,,,,43061982,01/12/2002,181,56615675,,6.2,15632281,,,2629,,,,
Under the Tuscan Sun,,BV,Touch Stone,,,,,,,43610723,01/09/2003,185,56005870,,,9751425,,,1226,,,,
Ernest Saves Christmas,,BV,Touch Stone,Silver Screen Partners III,Emshell Producers,,,,,28202109,01/11/1988,120,55756718,,,5710734,,,1634,,,,
The Lizzie McGuire Movie,,Buena Vista,Walt Disney Pics/Teen Life Prod.,,,,,,,42734455,01/05/2003,184,55388977,,5.3,17338755,,,2825,,,,
A Goofy Movie,A,DisneyToon Studios,Buena Vista,,,,,,,35348597,01/04/1995,152,55347200,,6.8,6129557,,,2176,,,,
10 Things I Hate About You,,BV,Touchstone,Mad Chance,Jaret Entertainment,,,,,38178166,01/03/1999,165,55031628,,7.2,8330681,,,2271,,,,
Old Dogs,,BV,,,,,,,,49492060,01/11/2009,216,54412668,,5.4,16894511,,,3425,,,,
The Hundred-Foot Journey,,BV,Touch Stone,DreamWorks Pictures,Reliance Entertainment,Participant Media,Image Nation,Amblin Entertainment,Harpo Films,54240821,01/08/2014,238,54237628,,,10979290,,,2023,,,,
Dan in Real Life,,BV,Touch Stone,Focus Features,,,,,,47642963,01/10/2007,209,54233387,,,11809445,,,1921,,,,
Judge Dredd,,BV,,,,,,,,34693481,01/06/1995,153,54107725,,,12291536,,,2204,,,,
The Joy Luck Club,,BV,,,,,,,,32901136,01/10/1993,146,53707209,,,159009,,,3,,,,
The Odd Life of Timothy Green,,BV,,,,,,,,51854875,01/08/2012,230,53533785,,,10822903,,,2598,,,,
Tin Men,,BV,Touchstone,Silver Screen Partners III,Bandai Films,,,,,25411386,01/06/1987,114,53249280,,,187381,,,9,,,,
Green Card,,BV,Touch Stone,Silver Screen Partners IV,,,,,,29888235,01/12/1990,134,53128236,,,47781,,,2,,,,
Muppet Treasure Island,L,BV,,,,,,,,34327391,01/02/1996,155,52707282,,6.9,7906689,,,2070,,,,
My Favorite Martian,,BV,,,,,,,,36850101,01/12/1999,168,52075783,,4.9,8828586,,,2275,,,,
Muppets Most Wanted,,BV,,,,,,,,51183113,01/03/2014,236,51517773,,6.5,17005126,,,3194,,,,
Deceived,,BV,Touch Stone,Silver Screen Partners IV,,,,,,28738096,01/09/1991,133,51507244,,,4316719,,,969,,,,
Keeping the Faith,,BV,Touch Stone,Spyglass Entertainment,,,,,,37047880,01/04/2000,171,51438375,,,8078671,,,2152,,,,
Glory Road,,BV,,,,,,,,42647449,01/01/2006,198,51150701,,,13594734,,,2222,,,,
Underdog,,BV,,,,,,,,43760605,01/03/2007,205,50683386,,,11585121,,,3013,,,,
The Ladykillers,,BV,Touch Stone,,,,,,,39799191,01/03/2004,187,50510992,,,12634563,,,1583,,,,
I Love Trouble,,BV,Touch Stone,Caravan Pictures,,,,,,30806194,01/01/1994,146,50115483,,5.2,7827002,,,1711,,,,
Treasure Planet,,BV,,,,,,,,38176783,01/11/2002,181,50082127,,,12083248,,,3227,,,,
Recess: School's Out,,Disney Channel,,,,,,,,36706141,01/02/2001,176,49659358,,6.5,10065873,,182,2630,,,,
The Rescuers Down Under,A,Buena Vista,Silver Screen Partners IV,Walt Disney Feature Animation,Walt Disney Pictures,,,,,27931461,01/11/1990,134,49649946,,6.9,3499819,,,1487,,,,
Confessions of a Shopaholic,,BV,Touch Stone,Jerry Bruckheimer Films,,,,,,44277350,01/02/2009,212,49628576,,,15066360,,,2507,,,,
Blank Check,L,Buena Vista Pics.,Walt Disney Pics./Agelson/Baumgarten,,,,,,,30577969,01/02/1994,147,49574663,,5.1,5411897,,,1732,,,,
Homeward Bound II: Lost in San Francisco,L,BV,,,,,,,,32772492,01/03/1996,157,49552091,,,8605649,,,2119,,,,
College Road Trip,,BV,,,,,,,,45610425,01/07/2008,220,49316671,,,13601419,,,2706,,,,
Ernest Goes to Camp,,BV,Touchstone,Silver Screen Partners III,,,,,,23509382,01/07/1987,114,49133782,,,6171957,,,1541,,,,
3 Ninja Kids,,BV,Global Film/Glboal Venture Hollywood/Touchstone Pics.,,,,,,,29000301,01/07/1992,141,49091627,,5.1,5888920,,,1912,,,,
Herbie Goes Bananas,L,Buena Vista,Walt Disney Pictures,,,,,,,17000000,01/06/1980,83,48890520,,4.8,,,,,,,,
Instinct,,BV,Touch Stone,Spyglass Entertainment,,,,,,34105207,01/04/1999,166,48805741,,6.5,10390387,,,2059,,,,
Alice in Wonderland,A,,Disney,,,,,,,5232000,01/07/1951,26,48045113,,7.4,,,,,,,,
Metro,,BV,Touch Stone,Caravan Pictures,,,,,,32000301,01/01/1997,159,47837131,,5.5,11411107,,,2001,,,,
Powder,,BV,,,,,,,,30862156,01/10/1995,154,47756626,,,7146973,,,1592,,,,
Eddie,,BV,,,,,,,,31387164,01/05/1996,157,47700066,,,8041972,,,1989,,,,
Raising Helen,,BV,Touch Stone,Beacon Communications,,,,,,37486512,01/05/2004,189,47148160,,6,10985597,,,2717,,,,
The Black Cauldron,A,,Walt Disney Feature Animation,Silver Screen Partners II,,,,,,21288692,01/07/1985,108,46969016,,6.4,4180110,,,1276,,,,
A Low Down Dirty Shame,,BV,,,,,,,,29392418,01/11/1994,150,46697621,,,7970574,,,1379,,,,
Benji the Hunted,L,Buena Vista,Walt Disney Pictures,Silver Screen Partners III,Mulberry Square Productions,,,,,22257624,01/06/1987,114,46640606,,6.2,3062616,,,1188,,,,
The 13th Warrior,,BV,Touch Stone,,,,,,,32698899,01/08/1999,167,46541237,,,10267756,,,2306,,,,
Tough Guys,,BV,Touchstone,Silver Screen Partners II,Bryna Productions,,,,,21458229,01/10/1986,110,46270012,,,4565342,,,856,,,,
Step Up 3-D,,BV,,,,,,,,42400223,01/06/2010,218,46266071,,,15812311,,,2435,,,,
The Hot Chick,,BV,Touch Stone,Happy Madison,,,,,,35081594,01/12/2002,181,46123472,,,7401146,,,2217,,,,
In the Army Now,,BV,,,,,,,,28881266,01/12/1994,150,45885521,,,6367194,,,1444,,,,
Ernest Goes to Jail,,BV,Touch Stone,Silver Screen Partners IV,,,,,,25029569,01/06/1990,130,45827426,,,6143372,,,1943,,,,
The Muppets Christmas Carol,L,Buena Vista Pics.,Walt Disney Pics./Jim Henson Prod.,,,,,,,27281507,01/12/1992,142,45726420,,7.7,5010109,,,2084,,,,
Treasure Island,L,RKO Radio Pictures,Walt Disney Prod./WD British Films,,,,,,,4600000,01/07/1950,24,45396465,,7,,,,,,,,
"McFarland, USA",,BV,,,,,,,,44482410,01/02/2015,235,45072926,,7.5,11020798,,,2755,,,,
The Wild,,BV,,,,,,,,37384046,01/04/2006,202,44125790,,,9684809,,,2854,,,,
James and the Giant Peach,H,BV,Walt Disney Pics./Allied Film/Skellington Prod.,,,,,,,28946127,01/04/1996,156,44046634,,6.7,7539098,,,2262,,,,
Need for Speed,,BV,Touch Stone,"DreamWorks Pictures, ",Reliance Entertainment,Electronic Arts,,,,43577636,01/03/2014,236,43862568,,,17844939,,,3115,,,,
Romy & Michele's High School Reunion,,BV,,,,,,,,29235353,01/04/1997,160,43403732,,,7429406,,,1602,,,,
The Devil and Max Devlin,L,Buena Vista,Walt Disney Pictures,,,,,,,16000000,01/03/1981,89,42998960,,5,,,,,,,,
Surrogates,,BV,Touch Stone,Mandeville Films,,,,,,38577772,01/09/2009,216,42484153,,6.3,14902692,,,2951,,,,
Hello Again,,BV,Touchstone,Silver Screen Partners III,,,,,,20419446,01/11/1987,115,42084230,,,5712892,,,1201,,,,
The Insider,,BV,Touch Stone,Spyglass Entertainment,,,,,,29089912,01/05/1999,166,41628679,,,6712361,,,1809,,,,
Oscar,,BV,Touch Stone,Silver Screen Partners IV,,,,,,23562716,01/04/1991,135,41450512,,6.3,5091027,,,1388,,,,
Grosse Pointe Blank,,BV,,,,,,,,28084357,01/11/1997,162,41359302,,,6870397,,,1227,,,,
"My Father, the Hero",,BV,,,,,,,,25479558,01/04/1994,147,41112667,,,5645251,,,1193,,,,
Houseguest,,BV,,,,,,,,26325256,01/06/1995,153,41056697,,,5831302,,,1238,,,,
Spy Hard,,BV,,,,,,,,26960191,01/05/1996,157,40972255,,,10448420,,,2286,,,,
Dumbo,A,RKO Radio Pictures,Walt Disney Prod.,,,,,,,2600000,01/10/1941,15,40416915,,7.3,,,,,Direct from Disney,,http://www.imdb.com/title/tt0033563/business?ref_=tt_dt_bus,
Flight of the Navigator,L,Buena Vista,Walt Disney Pictures,ProucersSales Organisation,,,,,,18564613,01/07/1986,110,40323018,,6.9,3115097,,,1024,,,,
The Other Sister,,BV,Touch Stone,,,,,,,27807627,01/02/1999,165,40204926,,,6624445,,,1343,,,,
Double Take,,BV,Touch Stone,,,,,,,29831583,01/12/2001,177,40153277,,,11736236,,,1631,,,,
Calendar Girls,,BV,Touch Stone,,,,,,,31041759,01/12/2003,184,40059196,,,151393,,,24,,,,
First Kid,L,BV,,,,,,,,26491793,01/08/1996,157,40055658,,,8434651,,,1878,,,,
Bad Company,,BV,Touch Stone,BC,,,,,,30160161,01/07/2002,180,39829164,,,11007367,,,2944,,,,
Adventures of Huck Finn,L,Buena Vista Pics.,Walt Disney Pictures,,,,,,,24103594,01/04/1993,144,39810768,,6.1,5033029,,,1803,,,,
Stella,,BV,Touch Stone,The Samuel Goldwyn CompanyST,,,,,,20240128,01/02/1990,122,39587760,,5.9,4311656,,,1033,,,,
Quiz Show,,BV,,,,,,,,24822619,01/09/1994,149,39516480,,,757714,,,27,,,,
Renaissance Man,,BV,Touch Stone,Cinergi Pictures,,,,,,24332324,01/03/1994,147,39314886,,6.1,5557590,,,1764,,,,
An American Werewolf in Paris,,BV,,,,,,,,26570463,01/12/1997,161,39178337,,,7600878,,,1728,,,,
Operation Dumbo Drop,L,BV,,,,,,,,24670346,01/07/1995,153,38475710,,4.9,6392155,,,2145,,,,
An Innocent Man,,BV,Touch Stone,Silver Screen Partners IV,Interscope Communications,,,,,20047604,01/06/1989,124,38421290,,,5700000,,,1561,,,,
High Fidelity,,BV,Touch Stone,Working Title Films,,,,,,27287137,01/03/2000,171,37908400,,,6429107,,,1183,,,,
Captain Ron,,BV,Touch Stone,Touchwood Pacific Partners,,,,,,22518097,01/09/1992,141,37902754,,,4893112,,,1414,,,,
Guilty as Sin,,BV,,,,,,,,22866222,01/04/1993,144,37767059,,,5713708,,,1132,,,,
The Program,,BV,Touch Stone,The Samuel Goldwyn Company,,,,,,23032565,01/09/1993,145,37753406,,,6821931,,,1653,,,,
Dead Presidents,,BV,,,,,,,,24147179,01/06/1995,153,37659782,,,7943778,,,1081,,,,
Confessions of a Teenage Drama Queen,,BV,,,,,,,,29331068,01/02/2004,186,37465320,,,9350572,,,2503,,,,
Tom and Huck,L,BV,,,,,,,,23920048,01/12/1995,154,37062517,,,3210458,,,1609,,,,
Dragonslayer,L,Paramount,Walt Disney Pictures,Paramount Pictures,,,,,,14110013,01/06/1981,91,37040809,,6.7,2407939,,,,,,,
Frankenweenie,,BV,,,,,,,,35291068,01/05/2012,230,36523104,,,11412213,,,3005,,,,
Million Dollar Arm,,BV,,,,,,,,36457627,01/05/2014,238,36448126,,7.1,10515659,,,3019,,,,
Consenting Adults,,BV,,,,,,,,21591728,01/10/1992,142,36215327,,,5023467,,,1513,,,,
Straight Talk,,BV,,,,,,,,21202099,01/03/1992,139,36200035,,,4575746,,,1477,,,,
Taking Care of Business,,BV,,,,,,,,20005435,01/08/1990,132,36155415,,,3620054,,,1074,,,,
Betsy's Wedding,,BV,Touch Stone,Silver Screen Partners IV,,,,,,19740070,01/06/1990,130,36142716,,,4662488,,,1048,,,,
Blaze,,BV,Touch Stone,Silver Screen Partners IV and A&M Films,,,,,,19131246,01/12/1989,126,36083563,,,1739701,,,909,,,,
When in Rome,,BV,Touch Stone,,,,,,,32680633,01/01/2010,217,35870617,,,12350041,,,2456,,,,
Earth,,Disneynature,Buena Vista,,,,,,,32011576,01/04/2009,213,35704226,,8,8825760,,100,1804,,http://www.boxofficemojo.com/movies/?id=earth09.htm,,
Super Mario Bros.,,BV,,,,,,,,20915465,01/05/1993,144,34497173,,,8532623,,,2081,,,,
D3: The Mighty Ducks,L,BV,,,,,,,,22955097,01/10/1996,158,34488909,,,6170358,,,2056,,,,
Air Bud,L,BV,,,,,,,,23144499,01/08/1997,161,34232844,,,4878632,,,1795,,,,
Iron Will,L,Buena Vista Pics.,Walt Disney Pics.,,,,,,,21006361,01/01/1994,146,34173125,,6.5,5313406,,,2036,,,,
Toy Story / Toy Story 2 (3D),,BV,,,,,,,,30702446,01/10/2009,216,33778840,,,12491789,,,1745,,,,
Baby: Secret of the Lost Legend,,Buena Vista,Touchstone,Silver Screen Partners II,,,,,,14972297,01/03/1985,106,33467868,,,4035147,,,916,,,,
Paradise (1991),,BV,,,,,,,,18634643,01/09/1991,133,33398841,,,38778,,,2,,,,
Another Stakeout,,BV,Touch Stone,,,,,,,20208496,01/07/1993,144,33284960,,,5418316,,,1185,,,,
Beloved,,BV,Touch Stone,Harpo Productions,,,,,,22852487,01/10/1998,164,33141401,,,8165551,,,1501,,,,
Duck Tales the Movie: Treasure of the Lost Lamp,A,Buena Vista,,,,,,,,18115724,01/08/1990,132,32740179,,6.9,3870366,,,1558,,,,
Corky Romano,,BV,Touch Stone,,,,,,,23980304,01/12/2001,177,32277462,,,9023173,,,2062,,,,
Stick It,,BV,Touch Stone,Spyglass Entertainment,,,,,,26910736,01/04/2006,202,31763750,,6.4,10803610,,,2038,,,,
He Got Game,,BV,Touch Stone,40 Acres & A Mule Filmworks,,,,,,21567853,01/01/1998,162,31742915,,,7610663,,,1319,,,,
